filename,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,24,0.030191,419.72123
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,25,0.03019,419.70893
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,26,0.030194,419.71764
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,27,0.030192,419.71191
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,28,0.030188,419.71166
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,29,0.030189,419.71294
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,30,0.03019,419.71222
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,31,0.030189,419.71221
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,32,0.030186,419.71206
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,33,0.03019,419.71179
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,34,0.030196,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,35,0.03019,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,36,0.030196,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,37,0.030198,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,38,0.030192,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,39,0.030195,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,40,0.03019,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,41,0.030189,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,42,0.030194,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,43,0.030198,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,44,0.030193,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,45,0.0302,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,46,0.03019,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,47,0.030188,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,48,0.030186,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,49,0.030198,419.71175
dataset/Stock_1.csv,SGD,StepLR:1,0.99,0.001,50,0.030195,419.71175
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,1,0.073759,799.78493
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,2,0.070336,817.4917
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,3,0.069885,807.01617
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,4,0.068499,796.59996
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,5,0.06889,798.78498
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,6,0.068676,797.47514
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,7,0.06769,796.53147
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,8,0.067918,796.45395
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,9,0.067791,795.63879
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,10,0.067421,795.83888
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,11,0.067931,795.43351
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,12,0.067501,795.11734
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,13,0.067518,794.94148
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,14,0.067551,794.96033
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,15,0.067353,794.87117
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,16,0.067143,794.84147
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,17,0.067286,794.84644
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,18,0.067501,794.83325
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,19,0.067945,794.82412
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,20,0.0674,794.82204
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,21,0.067643,794.81475
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,22,0.06768,794.80709
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,23,0.067902,794.81184
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,24,0.067583,794.80695
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,25,0.067594,794.80419
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,26,0.067906,794.80394
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,27,0.067542,794.80333
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,28,0.067465,794.80294
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,29,0.067535,794.80233
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,30,0.067645,794.80233
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,31,0.067661,794.80222
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,32,0.067859,794.80215
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,33,0.067656,794.80208
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,34,0.067605,794.80204
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,35,0.068002,794.802
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,36,0.067962,794.80196
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,37,0.067708,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,38,0.067559,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,39,0.067722,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,40,0.067218,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,41,0.067604,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,42,0.067668,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,43,0.067568,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,44,0.067569,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,45,0.067873,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,46,0.067984,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,47,0.067699,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,48,0.067625,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,49,0.067394,794.80195
dataset/Stock_2.csv,SGD,StepLR:1,0.99,0.001,50,0.067431,794.80195
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,1,0.025489,334.3357
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,2,0.02327,345.60902
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,3,0.023168,343.20001
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,4,0.02309,342.93647
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,5,0.023005,342.54241
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,6,0.022956,342.32243
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,7,0.022906,342.74094
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,8,0.02309,342.03248
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,9,0.02297,341.97007
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,10,0.022973,341.97713
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,11,0.023094,342.02883
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,12,0.023023,342.08725
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,13,0.023099,342.08518
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,14,0.022965,342.15458
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,15,0.022943,342.10958
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,16,0.022925,342.10307
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,17,0.022942,342.11369
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,18,0.022873,342.10486
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,19,0.022947,342.10471
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,20,0.022963,342.10565
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,21,0.023001,342.10803
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,22,0.02299,342.11248
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,23,0.022957,342.11082
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,24,0.023016,342.10981
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,25,0.022996,342.1095
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,26,0.022829,342.10935
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,27,0.022918,342.10915
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,28,0.02289,342.10899
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,29,0.02302,342.10919
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,30,0.022881,342.10912
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,31,0.022912,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,32,0.022984,342.1091
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,33,0.022942,342.10908
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,34,0.022928,342.10908
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,35,0.022881,342.10908
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,36,0.023003,342.10908
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,37,0.022995,342.10908
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,38,0.022846,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,39,0.023019,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,40,0.023049,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,41,0.022914,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,42,0.022976,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,43,0.023001,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,44,0.022891,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,45,0.022926,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,46,0.02305,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,47,0.022884,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,48,0.022849,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,49,0.022986,342.10909
dataset/Stock_3.csv,SGD,StepLR:1,0.99,0.001,50,0.022893,342.10909
