filename,Use_EWC,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error,,,filename,optimizer_T_Test,EWC_T_Test
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,25,0.049715,43.77451,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,26,0.049693,43.76582,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,27,0.049677,43.75984,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,28,0.049666,43.75574,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,29,0.049658,43.75284,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,30,0.049652,43.75062,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,31,0.049648,43.74916,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,32,0.049645,43.74805,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,33,0.049643,43.74697,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,34,0.049642,43.74671,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,35,0.049642,43.7465,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,36,0.049641,43.74643,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,37,0.049641,43.74638,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,38,0.049641,43.74636,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,39,0.049641,43.74635,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,40,0.049641,43.74635,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,41,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,42,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,43,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,44,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,45,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,46,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,47,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,48,0.049641,43.74634,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,49,0.049641,43.74635,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,50,0.049641,43.74634,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,1,1.204664,54.0321,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,2,0.063748,108.66601,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,3,0.027443,89.83928,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,4,0.025281,93.71688,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,5,0.02411,97.48406,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,6,0.023331,91.31986,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,7,0.022846,90.80392,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,8,0.022443,86.9445,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,9,0.02221,86.55,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,10,0.022039,87.93026,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,11,0.021919,87.04247,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,12,0.021829,86.59592,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,13,0.021777,86.81709,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,14,0.021737,86.26541,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,15,0.02171,86.29799,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,16,0.021688,86.10757,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,17,0.021676,86.26681,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,18,0.021666,86.18564,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,19,0.021658,86.36127,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,20,0.021654,86.29415,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,21,0.02165,86.27901,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,22,0.021648,86.25993,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,23,0.021646,86.27899,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,24,0.021645,86.26904,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,25,0.021645,86.26524,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,26,0.021644,86.25938,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,27,0.021644,86.26453,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,28,0.021643,86.25954,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,29,0.021643,86.26,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,30,0.021643,86.26215,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,31,0.021643,86.26225,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,32,0.021643,86.26245,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,33,0.021643,86.26214,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,34,0.021643,86.2628,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,35,0.021643,86.26277,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,36,0.021643,86.26276,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,37,0.021643,86.26274,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,38,0.021643,86.26271,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,39,0.021643,86.26271,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,40,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,41,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,42,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,43,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,44,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,45,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,46,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,47,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,48,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,49,0.021643,86.2627,,,,,
dataset/Stock_1.csv,No,SGD,StepLR:1,0.99,0.001,50,0.021643,86.2627,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,1,3.064559,444.24165,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,2,0.377787,64.20779,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,3,0.014321,41.18638,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,4,0.013773,47.25884,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,5,0.013442,46.71718,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,6,0.013197,45.67138,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,7,0.013092,45.60616,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,8,0.013021,45.19373,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,9,0.012971,45.36832,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,10,0.012933,45.80411,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,11,0.012905,45.58463,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,12,0.012893,45.24911,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,13,0.012876,45.46835,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,14,0.012868,45.43902,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,15,0.012862,45.44544,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,16,0.012858,45.42263,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,17,0.012856,45.44804,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,18,0.012853,45.42371,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,19,0.012852,45.43595,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,20,0.012851,45.42385,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,21,0.01285,45.41649,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,22,0.01285,45.43379,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,23,0.01285,45.42587,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,24,0.012849,45.42449,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,25,0.012849,45.42475,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,26,0.012849,45.42439,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,27,0.012849,45.42434,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,28,0.012849,45.42363,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,29,0.012849,45.42343,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,30,0.012849,45.42353,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,31,0.012849,45.42338,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,32,0.012849,45.42333,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,33,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,34,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,35,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,36,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,37,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,38,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,39,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,40,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,41,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,42,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,43,0.012849,45.4235,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,44,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,45,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,46,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,47,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,48,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,49,0.012849,45.42349,,,,,
dataset/Stock_2.csv,No,SGD,StepLR:1,0.99,0.001,50,0.012849,45.42349,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,1,1.238379,272.1037,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,2,0.777688,220.37091,,,,,
