trade_date,open,close,high,low,volume,ts_code
2016/8/23,298.512,298.075,300.173,297.026,19914,600519
2016/8/24,298.211,296.521,298.668,295.113,22779,600519
2016/8/25,296.443,294.316,296.618,291.461,25362,600519
2016/8/26,294.443,292.801,295.812,291.781,21436,600519
2016/8/29,299.163,298.707,299.94,296.443,38055,600519
2016/8/30,298.192,297.084,299.649,295.929,21170,600519
2016/8/31,297.9,301.29,301.844,296.774,40401,600519
2016/9/1,300.814,299.853,303.048,299.406,17185,600519
2016/9/2,299.163,297.007,300.571,296.133,18572,600519
2016/9/5,297.415,299.649,300.134,297.036,19138,600519
2016/9/6,299.649,301.047,301.455,299.503,20625,600519
2016/9/7,300.795,297.803,300.795,296.735,29645,600519
2016/9/8,296.453,297.046,297.706,295.676,16705,600519
2016/9/9,297.852,295.89,298.056,295.278,16222,600519
2016/9/12,293.335,289.508,295.278,289.227,38238,600519
2016/9/13,291.344,291.81,292.335,290.713,16255,600519
2016/9/14,291.49,290.975,293.53,289.46,18527,600519
2016/9/19,291.441,291.519,292.918,291.276,12852,600519
2016/9/20,292.15,286.497,292.17,285.565,34892,600519
2016/9/21,286.594,285.613,286.915,280.815,39037,600519
2016/9/22,285.856,288.459,291.373,285.574,29606,600519
2016/9/23,288.498,289.139,290.373,286.925,12671,600519
2016/9/26,288.479,280.446,288.488,280.271,37176,600519
2016/9/27,280.592,282.816,283.603,280.475,17915,600519
2016/9/28,283.418,280.135,283.418,279.31,22360,600519
2016/9/29,279.591,282.631,284.593,279.591,23705,600519
2016/9/30,281.68,289.363,291.033,281.68,29603,600519
2016/10/10,289.945,294.268,295.142,289.945,21103,600519
2016/10/11,295.278,300.057,300.134,294.307,41736,600519
2016/10/12,299.649,297.046,299.649,296.152,19286,600519
2016/10/13,297.998,295.171,298.134,294.802,16143,600519
2016/10/14,294.763,296.832,297.22,294.501,12690,600519
2016/10/17,296.686,293.772,296.735,292.85,18957,600519
2016/10/18,293.821,298.347,299.649,293.335,30389,600519
2016/10/19,299.649,297.658,299.892,296.346,14123,600519
2016/10/20,298.571,296.715,298.571,296.055,14079,600519
2016/10/21,296.327,295.462,296.715,293.908,11483,600519
2016/10/24,293.918,298.124,298.192,293.918,26246,600519
2016/10/25,298.571,303.961,304.02,298.571,43762,600519
2016/10/26,304.02,304.68,309.177,302.708,46813,600519
2016/10/27,304.01,307.779,309.09,302.087,32951,600519
2016/10/28,308.391,307.953,309.294,304.991,20137,600519
2016/10/31,309.847,308.828,313.538,307.711,43596,600519
2016/11/1,308.828,307.594,309.847,306.496,19512,600519
2016/11/2,307.021,306.137,308.06,304.68,20636,600519
2016/11/3,305.962,306.798,307.38,305.137,18690,600519
2016/11/4,306.924,305.787,309.119,304.972,20619,600519
2016/11/7,305.962,306.283,307.905,304.214,16047,600519
2016/11/8,307.419,310.819,312.936,306.623,34193,600519
2016/11/9,310.819,307.72,312.732,304.797,30004,600519
2016/11/10,309.945,309.974,311.79,308.614,17804,600519
2016/11/11,308.866,306.04,309.168,305.768,35902,600519
2016/11/14,306.496,302.067,306.807,301.096,39920,600519
2016/11/15,301.135,305.001,306.594,301.135,24470,600519
2016/11/16,304.806,304.165,306.351,303.048,13399,600519
2016/11/17,303.126,302.116,304.02,301.621,18337,600519
2016/11/18,302.232,301.106,302.854,300.989,19377,600519
2016/11/21,302.096,300.62,302.718,299.522,26083,600519
2016/11/22,301.397,300.008,301.543,299.522,26424,600519
2016/11/23,302.077,303.971,304.02,300.241,34015,600519
2016/11/24,304.214,307.837,307.905,302.485,39078,600519
2016/11/25,307.944,307.798,308.876,304.428,22369,600519
2016/11/28,308.439,310.333,310.994,307.516,49253,600519
2016/11/29,311.499,314.665,320.969,310.246,58830,600519
2016/11/30,312.004,309.925,314.024,309.313,26752,600519
2016/12/1,310.819,311.81,315.277,309.537,27941,600519
2016/12/2,311.79,312.538,313.927,309.847,30628,600519
2016/12/5,310.042,306.866,315.229,306.759,42060,600519
2016/12/6,307.157,317.055,317.21,307.157,38923,600519
2016/12/7,317.735,318.055,319.075,314.675,25271,600519
2016/12/8,318.599,328.021,330.245,317.618,54475,600519
2016/12/9,327.525,328.069,329.682,324.437,34495,600519
2016/12/12,328.011,317.482,330.245,316.355,50332,600519
2016/12/13,317.463,323.456,325.388,316.161,41780,600519
2016/12/14,323.446,322.737,324.485,319.075,32029,600519
2016/12/15,322.921,318.638,323.436,316.239,39202,600519
2016/12/16,317.618,318.181,320.415,314.296,25051,600519
2016/12/19,316.647,316.608,324.777,316.268,30471,600519
2016/12/20,316.686,317.113,317.618,312.577,30831,600519
2016/12/21,317.521,319.23,319.842,314.277,24711,600519
2016/12/22,318.589,315.87,319.036,315.559,14678,600519
2016/12/23,314.267,310.848,315.19,309.974,31095,600519
2016/12/26,309.877,315.17,315.666,307.128,26001,600519
2016/12/27,315.199,316.802,319.366,314.218,20062,600519
2016/12/28,317.608,314.432,318.589,314.053,17878,600519
2016/12/29,314.704,317.919,318.463,313.733,21225,600519
2016/12/30,317.239,324.563,325.67,317.239,34687,600519
2017/1/3,324.689,324.961,327.331,323.261,20763,600519
2017/1/4,325.019,341.813,342.066,325,65257,600519
2017/1/5,339.958,336.792,341.366,335.529,41704,600519
2017/1/6,336.694,340.696,349.457,336.17,68095,600519
2017/1/9,337.821,338.511,342.755,336.597,35405,600519
2017/1/10,338.453,338.987,341.901,336.656,31727,600519
2017/1/11,338.015,335.539,338.015,333.645,23598,600519
2017/1/12,336.607,337.093,337.433,334.626,17779,600519
2017/1/13,337.025,334.975,337.423,334.014,18282,600519
2017/1/16,334.256,331.673,334.907,329.079,36855,600519
2017/1/17,332.77,339.113,341.415,332.188,35188,600519
2017/1/18,338.87,344.892,346.534,337.248,46005,600519
2017/1/19,344.815,344.543,348.195,341.609,28523,600519
2017/1/20,344.717,344.805,347.146,342.901,21344,600519
2017/1/23,346.641,341.143,349.477,339.434,32581,600519
2017/1/24,341.192,340.259,342.678,336.801,26914,600519
2017/1/25,339.939,337.656,339.939,336.267,22990,600519
2017/1/26,338.151,334.538,338.792,331.508,37826,600519
2017/2/3,336.073,336.898,339.162,335.102,20936,600519
2017/2/6,338.491,336.898,338.88,335.063,15680,600519
2017/2/7,336.889,333.722,337.433,333.295,20519,600519
2017/2/8,333.897,334.334,335.587,332.838,19088,600519
2017/2/9,335.102,337.637,338.783,334.723,23324,600519
2017/2/10,338.618,335.179,339.783,335.102,24056,600519
2017/2/13,334.13,339.715,341.804,332.11,53587,600519
2017/2/14,339.511,340.162,342.483,339.084,26558,600519
2017/2/15,341.415,338.53,342.328,337.238,26256,600519
2017/2/16,338.501,338.103,338.618,335.597,17642,600519
2017/2/17,338.89,340.502,344.271,337.53,29102,600519
2017/2/20,340.356,350.924,351.925,339.968,61853,600519
2017/2/21,351.497,348.447,352.031,346.932,27705,600519
2017/2/22,350.264,351.507,356.004,349.671,37130,600519
2017/2/23,350.613,351.322,354.994,349.438,23328,600519
2017/2/24,351.614,352.216,352.478,349.72,17692,600519
2017/2/27,352.09,346.951,352.439,346.563,25400,600519
2017/2/28,346.757,344.484,348.894,343.435,27473,600519
2017/3/1,344.912,346.378,347.923,344.815,21944,600519
2017/3/2,346.476,346.582,346.757,344.358,22103,600519
2017/3/3,344.815,346.31,347.942,344.815,14153,600519
2017/3/6,347.398,348.661,349.224,346.32,22818,600519
2017/3/7,347.758,356.665,358.296,347.758,46286,600519
2017/3/8,356.645,356.742,357.918,355.013,16037,600519
2017/3/9,356.47,359.287,359.365,355.072,23406,600519
