trade_date,open,high,low,close,volume
2017/7/17,325.540009,327.100006,313.450012,319.570007,9876900
2017/7/18,317.5,329.130005,315.660004,328.23999,6373700
2017/7/19,328.230011,331.649994,323.220001,325.26001,6357000
2017/7/20,326.899994,330.220001,324.200012,329.920013,5166200
2017/7/21,329.459991,331.26001,325.799988,328.399994,4901600
2017/7/24,330.23999,343.399994,330.01001,342.519989,8637100
2017/7/25,345,345.600006,334.149994,339.600006,6989200
2017/7/26,340.359985,345.5,338.119995,343.850006,4820800
2017/7/27,346,347.5,326.290009,334.459991,8302400
2017/7/28,336.890015,339.600006,332.51001,335.070007,4880400
2017/7/31,335.5,341.48999,321.040009,323.470001,8535100
2017/8/1,323,324.450012,316.130005,319.570007,8303100
2017/8/2,318.940002,327.119995,311.220001,325.890015,13091500
2017/8/3,345.329987,350,343.149994,347.089996,13535000
2017/8/4,347,357.269989,343.299988,356.910004,9268900
2017/8/7,357.350006,359.480011,352.75,355.170013,6324500
2017/8/8,357.529999,368.579987,357.399994,365.220001,7449800
2017/8/9,361,370,358.950012,363.529999,6892100
2017/8/10,361.600006,366.649994,354.660004,355.399994,7092900
2017/8/11,356.970001,361.26001,353.619995,357.869995,4365800
2017/8/14,364.630005,367.660004,362.600006,363.799988,4519200
2017/8/15,365.200012,365.48999,359.369995,362.329987,3085100
2017/8/16,363,366.5,362.519989,362.910004,3413800
2017/8/17,361.209991,363.299988,351.589996,351.920013,5027700
2017/8/18,352.910004,354,345.799988,347.459991,5408200
2017/8/21,345.820007,345.820007,331.850006,337.859985,6495400
2017/8/22,341.130005,342.23999,337.369995,341.350006,4322000
2017/8/23,338.98999,353.48999,338.299988,352.769989,4954500
2017/8/24,352.519989,356.660004,349.73999,352.929993,4584700
2017/8/25,354.23999,355.690002,347.299988,348.049988,3484000
2017/8/28,347.279999,347.350006,339.720001,345.660004,3764000
2017/8/29,339.480011,349.049988,338.75,347.359985,4073700
2017/8/30,349.670013,353.470001,347,353.179993,3412900
2017/8/31,353.549988,358.440002,352.820007,355.899994,4072800
2017/9/1,356.119995,357.589996,353.690002,355.399994,3049500
2017/9/5,353.799988,355.48999,345.890015,349.589996,3835100
2017/9/6,349.5,350.980011,341.559998,344.529999,4091400
2017/9/7,345.980011,352.480011,343.450012,350.609985,4239200
2017/9/8,348.98999,349.779999,342.299988,343.399994,3263500
2017/9/11,351.350006,363.709991,350,363.690002,7667100
2017/9/12,364.48999,368.76001,360.399994,362.75,5972900
2017/9/13,363.820007,368.070007,359.589996,366.230011,4185200
2017/9/14,364.329987,377.959991,362.630005,377.640015,7202500
2017/9/15,374.51001,380,372.700012,379.809998,5420500
2017/9/18,380.25,389.609985,377.679993,385,7188000
2017/9/19,380,382.390015,373.570007,375.100006,6451900
2017/9/20,373,378.25,371.070007,373.910004,4919100
2017/9/21,374.899994,376.829987,364.51001,366.480011,4618200
2017/9/22,366.48999,369.899994,350.880005,351.089996,8159400
2017/9/25,353.149994,357.470001,342.880005,344.98999,7605900
2017/9/26,350.929993,351.23999,340.899994,345.25,7156300
2017/9/27,349.899994,351.48999,340.5,340.970001,6060300
2017/9/28,339.880005,342.75,335.399994,339.600006,5319600
2017/9/29,341.859985,344.679993,338.600006,341.100006,5107100
2017/10/2,342.519989,343.700012,335.51001,341.529999,5286800
2017/10/3,335.899994,348.549988,331.279999,348.140015,10153600
2017/10/4,351.25,358.619995,349.600006,355.01001,8163500
2017/10/5,356,357.440002,351.350006,355.329987,4171700
2017/10/6,353.100006,360.100006,352.25,356.880005,4297500
2017/10/9,349.649994,351.75,342.670013,342.940002,7493700
2017/10/10,346.799988,355.630005,345.529999,355.589996,6978500
2017/10/11,353.890015,357.600006,351.149994,354.600006,4500800
2017/10/12,352.950012,359.779999,352.640015,355.679993,4087000
2017/10/13,356.980011,358.48999,353.679993,355.570007,3540500
2017/10/16,353.76001,354.480011,347.160004,350.600006,5375500
2017/10/17,350.910004,356.220001,350.070007,355.75,3293300
2017/10/18,355.970001,363,354.130005,359.649994,4939100
2017/10/19,355.559998,357.149994,348.200012,351.809998,5061800
2017/10/20,352.690002,354.549988,344.339996,345.100006,4930400
2017/10/23,349.880005,349.950012,336.25,337.019989,5747300
2017/10/24,338.799988,342.799988,336.160004,337.339996,4491700
2017/10/25,336.700012,337.5,323.559998,325.839996,8594100
2017/10/26,327.779999,330.230011,323.200012,326.170013,5023500
2017/10/27,319.75,324.589996,316.660004,320.869995,6979700
2017/10/30,319.179993,323.779999,317.25,320.079987,4254400
2017/10/31,320.230011,331.950012,320.179993,331.529999,5672300
2017/11/1,332.25,332.609985,320.26001,321.079987,8457300
2017/11/2,300.130005,308.690002,292.630005,299.26001,19791400
2017/11/3,299.5,306.25,295.130005,306.089996,8894000
2017/11/6,307,307.5,299.01001,302.779999,6486000
2017/11/7,301.019989,306.5,300.029999,306.049988,5294300
2017/11/8,305.5,306.890015,301.299988,304.390015,4725300
2017/11/9,302.5,304.459991,296.299988,302.98999,5447100
2017/11/10,302.5,308.359985,301.850006,302.98999,4625400
2017/11/13,300.130005,316.799988,299.109985,315.399994,7584900
2017/11/14,315,316.350006,306.899994,308.700012,5676100
2017/11/15,306.01001,312.48999,301.5,311.299988,5978700
2017/11/16,313.98999,318.140015,311.299988,312.5,5822100
2017/11/17,325.670013,326.670013,313.149994,315.049988,13735100
2017/11/20,313.790009,315.5,304.75,308.73999,8247700
2017/11/21,310.859985,318.230011,308.709991,317.809998,7261300
2017/11/22,316.769989,317.420013,311.839996,312.600006,4917600
2017/11/24,313.790009,316.410004,311,315.549988,3244100
2017/11/27,313.25,317.339996,309.51001,316.809998,4555900
2017/11/28,316.359985,320,313.920013,317.549988,4949500
2017/11/29,317.299988,318,301.230011,307.540009,8767400
2017/11/30,308.559998,310.700012,304.540009,308.850006,4351600
2017/12/1,305.440002,310.320007,305.049988,306.529999,4292900
2017/12/4,306.5,308.269989,300.609985,305.200012,5835100
2017/12/5,302,308,301,303.700012,4646500
2017/12/6,300.100006,313.390015,300,313.26001,7195300
2017/12/7,312,318.630005,311.049988,311.23999,4780600
